accuracy	f1score	precision	negativepredvalue	recall	specificity
0.85	0.8571	0.809	0.9014	0.9114	0.7901
0.8188	0.8398	0.7755	0.8871	0.9157	0.7143
0.8562	0.8783	0.8469	0.871	0.9121	0.7826
0.8	0.8	0.7442	0.8649	0.8649	0.7442
0.7812	0.7771	0.7011	0.8767	0.8714	0.7111
0.85	0.85	0.8718	0.8293	0.8293	0.8718
0.8625	0.859	0.8171	0.9103	0.9054	0.8256
0.9125	0.9176	0.8667	0.9714	0.975	0.85
0.875	0.899	0.8812	0.8644	0.9175	0.8095
0.8688	0.8901	0.8763	0.8571	0.9043	0.8182
0.8812	0.8876	0.8929	0.8684	0.8824	0.88
0.85	0.8554	0.7889	0.9286	0.9342	0.7738
0.8188	0.8199	0.7586	0.8904	0.8919	0.7558
0.825	0.8427	0.8523	0.7917	0.8333	0.8143
